channel_id,channel_name,description,published_at,country,view_count,subscriber_count,video_count,load_ts
UC1Ph26_dZKWe8V8LtBZKBFw,SNEHA SHORT 2M,"1 like  Please
नमस्ते🙏🏻 हमारे चैनल का उद्देश्य आप सभी के लिए दुआ कर ज़िंदगी को खुश हाल करना है
सृष्टि ईश्वर के अधीन है ईश्वर की कृपा से किन्नर की दुआ खाली नहीं जाती
आप कर्ज अथवा बीमारी से परेशान हैं
काम,कारोबार व्यापार
 आपको लगता है किसी ने बांध दिया
तो आप विश्वास रखें संपर्क करें
आपकी बारी आने पर आपकी सेवा को तत्पर हैं
# कमेंट में समस्या अपना ओर मां का नाम लिखें
लाइक करें जिससे संदेश आगे बढ़े
👉🏻यदि किसी सज्जन को ये लगता है कि हमने यूट्यूब गाइडलाइन के खिलाफ कोई कंटेंट अपलोड किया है और आपका कंटेंट यूज किया गया है तो कृपया स्ट्राइक स्ट्राइक देने से पहले हमे gmail पर या कॉल 8864805707 पर सूचित करें आपका कंटेंट delete कर दिया जाएगा धन्यवाद 

Disclaimer :
Copyright disclaimer under section 107 of the copyright Act 1976, allowance is made for fair use for purposes such as criticism, comment, news reporting, scholarship, and research. Fair a use permitted by copyright statute that might otherwise by infringing. Not profit educational or personal use tips the balance in favour of fair use..
",2022-08-12 03:19:46.291934,,158873048,416000,791,2025-12-27 07:24:13.797088
UC1eT5t_f1A82yVNaiEnJvbA,SR Jharkhand,"Jharkhand की ताजा खबरें देखने के लिए तैयार हो जाएं। 

 

Copyright Disclaimer: - Under section 107 of the copyright Act 1976, allowance is mad for FAIR USE for purpose such a as criticism, comment, news reporting, teaching, scholarship and research. Fair use is a use permitted by copyright statues that might otherwise be infringing. Non- Profit, educational or personal use tips the balance in favor of FAIR USE.",2025-06-21 08:01:37.588113,IN,5462714,28600,146,2025-12-27 07:24:13.797129
UC1vfrBbTpMV97Apj1T9yYkw,MOVIEMADS TELUGU,"My contact 
WHATSPP ME 👇

MOBILE NO : 7207341734.

If ఎప్పుడైనా నేను whatsapp lo response కాకపోతే, u can contact through telegram also
telegramid  @moviemadstelugu 
7207341734


3 important things in our life. 1.ENTERTAINMENT 2.ENTERTAINMENT 3.ENTERTAINMENT .

",2011-10-19 05:52:21,IN,27757821,114000,694,2025-12-27 07:24:13.797141
UC0iy0L7F6ryCOs3s51xSWjw,LDV Anime,"Xin Chào Mình Là LDV Anime
",2021-07-23 03:32:33.480523,VN,209625510,546000,1476,2025-12-27 07:24:13.797151
UC0XYcf4fQbsO99kHT9hAlCQ,Salmon Bucket Fun Hub,The Salmon Bucket became a PNGtuber! Oh no. Official stream highlights of Salmon Bucket! Will you join the Salmon's army?,2021-01-12 19:30:17.298426,,382834161,252000,281,2025-12-27 07:24:13.797162
UC16niRr50-MSBwiO3YDb3RA,BBC News,"Breaking news, live updates and in-depth analysis from BBC News journalists around the world. 

For the latest news download the BBC News app or visit BBC.com/news
",2006-04-08 05:51:05,GB,6525875184,19000000,27981,2025-12-27 07:24:13.797198
UC0eBS0zgbL0E7V31fmlfqIQ,Домашний кинозал,"Домашний кинозал - самое лучшее кино на нашем канале!
Добро пожаловать на наш YouTube-канал, посвященный российским фильмам и сериалам! 

Здесь вы найдете самую разнообразную коллекцию: от драм и комедий до исторических эпопей и современных триллеров. 

Присоединяйтесь к обсуждениям, делитесь своими мнениями и открывайте для себя уникальные произведения русского кино. 

Подписывайтесь и вместе погружайтесь в волшебный мир кинематографа!
",2024-09-09 10:32:43.09064,AE,19569824,74000,436,2025-12-27 07:24:13.797296
UC0E4_WBCxz6_OG8smQwbOEA,JFW Binge,"JFW Binge is the #1 destination for top-quality content revolving around Tamil Cinema. Tune in for non-stop entertainment and fun with your favorite Tamil actors and Tamil actresses! Stay updated on the latest Kollywood buzz with our exclusive shows and events, including in-depth celebrity interviews and engaging Tamil movie reviews. Get the inside scoop on your favorite stars and the hottest trends in the Tamil film industry, only on JFW Binge!",2020-08-11 17:03:41.490211,IN,1041520772,632000,3131,2025-12-27 07:24:13.797359
UC0Qb7WEWW3xBop_6LC4t7qQ,Unplugged Shubhankar,"Unplugged Podcast with Shubhankar Mishra
Journalist| A ( Aajtak) to Z (Zee News) of news- seen it all. A Common Man Doing Calm se kaam
",2023-12-11 17:10:06.021704,IN,1443154939,1800000,8132,2025-12-27 07:24:13.797447
UC09hwXZEtHcScFWebDsj7cA,samacharpati,"Welcome to Samacharpati YouTube Channel. Launched in May, 2014 as a News YouTube channel with an aim to cater the Nepalese audience with authentic daily news updates, it also works in various domains to be informative to its users. Since then, we have grown to a family of almost a million Subscribers with a daily engagement of about 4,00,000.
Also we have, Samacharpati.com which is a web based news portal for its users where they can browse daily news updates and read as per their convenience, completely managed by Pokhara Media Club Pvt.Ltd.

Pokhara Media Club Registration number in Company register Office Nepal - 133799/071/072
Department Of Information (Suchana Bibhag) Registration number – 53-073/74
Press Council Registration Number– 996
Email : samacharpatinews@gmail.com [9856032486]

For Advertisement-
9802301090/9802857611

#nepalinews
#todaynews
#samachar
#samacharpati
#aajakosamachar
nepali news, today news, nepali samachar, aajako samachar, today nepali news
",2014-05-26 07:46:41,US,458351085,2080000,7192,2025-12-27 07:24:13.797477
